Survey Taker: Survey Response,Survey Taker: Created Date,Response,Question Type,Survey Taker: ID,Survey Question: Choices,Survey Question: Survey,Survey Question: Question Title,Survey Score
7096,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000epzt,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7099,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000eqr7,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7105,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000erFJ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7108,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000esUj,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7123,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000ew3h,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7125,25/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000ewWj,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7132,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f1eT,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7139,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f2HB,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7144,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f2gz,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7145,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f2ib,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7158,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f3rZ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7159,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f49J,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7160,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f4CX,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7164,26/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f4EA,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7171,27/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f8mP,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7177,27/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f9VZ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7180,27/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000f9vN,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7185,28/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fG8r,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7188,28/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fKij,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7201,28/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fMfh,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7207,28/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fNVJ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7208,28/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fNdN,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7214,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fWtZ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7222,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fcxN,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7229,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fg6X,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
